name,cfus,cfus.per.ml,concentration,mutants,mutants.per.ml,mutant.proportion,strain,concentration.label,experiment
ohrR-2,750000,187500000,500,89,890,4.746666666666666e-6,ohrR,500 µg/mL isoniazid,2
ohrR-3,949999.9999999999,237499999.99999997,500,160,1600,6.736842105263159e-6,ohrR,500 µg/mL isoniazid,2
ohrR-4,850000,212500000,500,132,1320,6.211764705882353e-6,ohrR,500 µg/mL isoniazid,2
ohrR-5,750000,187500000,500,180,1800,9.6e-6,ohrR,500 µg/mL isoniazid,2
ohrR-6,1000000,250000000,500,158,1580,6.32e-6,ohrR,500 µg/mL isoniazid,2
ohrR-7,1000000,250000000,500,210,2100,8.4e-6,ohrR,500 µg/mL isoniazid,2
ohrR-8,900000,225000000,500,82,820,3.6444444444444446e-6,ohrR,500 µg/mL isoniazid,2
ohrR-9,950000,237500000,500,120,1200,5.052631578947369e-6,ohrR,500 µg/mL isoniazid,2
wt-1,1450000,362500000,500,51,510,1.406896551724138e-6,wt,500 µg/mL isoniazid,2
wt-10,1599999.9999999998,399999999.99999994,500,79,790,1.975e-6,wt,500 µg/mL isoniazid,2
wt-11,1549999.9999999998,387499999.99999994,500,84,840,2.167741935483871e-6,wt,500 µg/mL isoniazid,2
wt-12,1750000,437500000,500,94,940,2.1485714285714285e-6,wt,500 µg/mL isoniazid,2
wt-2,1350000,337500000,500,41,410,1.2148148148148147e-6,wt,500 µg/mL isoniazid,2
wt-3,1300000,325000000,500,67,670,2.0615384615384615e-6,wt,500 µg/mL isoniazid,2
wt-4,1500000,375000000,500,35,350,9.333333333333333e-7,wt,500 µg/mL isoniazid,2
wt-5,1150000,287500000,500,20,200,6.956521739130435e-7,wt,500 µg/mL isoniazid,2
wt-6,999999.9999999998,249999999.99999994,500,32,320,1.2800000000000002e-6,wt,500 µg/mL isoniazid,2
wt-7,1150000,287500000,500,18,180,6.260869565217391e-7,wt,500 µg/mL isoniazid,2
wt-8,1249999.9999999998,312499999.99999994,500,24,240,7.680000000000001e-7,wt,500 µg/mL isoniazid,2
wt-9,1200000,300000000,500,37,370,1.2333333333333333e-6,wt,500 µg/mL isoniazid,2
mfs1-1,330000,82500000,500,21,210,2.5454545454545456e-6,mfs1,500 µg/mL isoniazid,3
mfs1-10,250000,62500000,500,63,630,1.008e-5,mfs1,500 µg/mL isoniazid,3
mfs1-11,280000,70000000,500,46,460,6.5714285714285714e-6,mfs1,500 µg/mL isoniazid,3
mfs1-12,200000,50000000,500,54,540,1.08e-5,mfs1,500 µg/mL isoniazid,3
mfs1-2,315000,78750000,500,24,240,3.0476190476190477e-6,mfs1,500 µg/mL isoniazid,3
mfs1-3,295000,73750000,500,41,410,5.559322033898305e-6,mfs1,500 µg/mL isoniazid,3
mfs1-4,325000,81250000,500,49,490,6.030769230769231e-6,mfs1,500 µg/mL isoniazid,3
mfs1-5,340000,85000000,500,48,480,5.647058823529412e-6,mfs1,500 µg/mL isoniazid,3
mfs1-6,355000,88750000,500,44,440,4.9577464788732395e-6,mfs1,500 µg/mL isoniazid,3
mfs1-7,280000,70000000,500,59,590,8.428571428571429e-6,mfs1,500 µg/mL isoniazid,3
mfs1-8,240000,60000000,500,32,320,5.333333333333334e-6,mfs1,500 µg/mL isoniazid,3
mfs1-9,315000,78750000,500,52,520,6.603174603174603e-6,mfs1,500 µg/mL isoniazid,3
ntaA-1,285000,71250000,500,21,210,2.9473684210526317e-6,ntaA,500 µg/mL isoniazid,3
ntaA-10,275000,68750000,500,67,670,9.745454545454545e-6,ntaA,500 µg/mL isoniazid,3
ntaA-11,250000,62500000,500,48,480,7.68e-6,ntaA,500 µg/mL isoniazid,3
ntaA-12,235000,58750000,500,42,420,7.148936170212766e-6,ntaA,500 µg/mL isoniazid,3
ntaA-2,280000,70000000,500,12,120,1.7142857142857143e-6,ntaA,500 µg/mL isoniazid,3
ntaA-3,315000,78750000,500,36,360,4.571428571428571e-6,ntaA,500 µg/mL isoniazid,3
ntaA-4,340000,85000000,500,16,160,1.8823529411764707e-6,ntaA,500 µg/mL isoniazid,3
ntaA-5,325000,81250000,500,30,300,3.6923076923076925e-6,ntaA,500 µg/mL isoniazid,3
ntaA-6,250000,62500000,500,18,180,2.88e-6,ntaA,500 µg/mL isoniazid,3
ntaA-7,210000,52500000,500,12,120,2.2857142857142856e-6,ntaA,500 µg/mL isoniazid,3
ntaA-8,280000,70000000,500,28,280,4e-6,ntaA,500 µg/mL isoniazid,3
ntaA-9,310000,77500000,500,29,290,3.7419354838709678e-06,ntaA,500 µg/mL isoniazid,3
ohrR-1,245000,61250000,500,67,670,1.0938775510204081e-5,ohrR,500 µg/mL isoniazid,3
ohrR-10,235000,58750000,500,61,610,1.0382978723404255e-5,ohrR,500 µg/mL isoniazid,3
ohrR-11,180000,45000000,500,160,1600,3.555555555555555e-5,ohrR,500 µg/mL isoniazid,3
ohrR-12,170000,42500000,500,68,680,1.6e-5,ohrR,500 µg/mL isoniazid,3
ohrR-2,220000,55000000,500,66,660,1.2e-5,ohrR,500 µg/mL isoniazid,3
ohrR-3,205000,51250000,500,72,720,1.4048780487804879e-5,ohrR,500 µg/mL isoniazid,3
ohrR-4,175000,43750000,500,54,540,1.2342857142857142e-5,ohrR,500 µg/mL isoniazid,3
ohrR-5,240000,60000000,500,398,3980,6.633333333333334e-5,ohrR,500 µg/mL isoniazid,3
ohrR-6,295000,73750000,500,48,480,6.508474576271187e-6,ohrR,500 µg/mL isoniazid,3
ohrR-7,265000,66250000,500,73,730,1.1018867924528302e-5,ohrR,500 µg/mL isoniazid,3
ohrR-8,260000,65000000,500,81,810,1.2461538461538461e-5,ohrR,500 µg/mL isoniazid,3
ohrR-9,225000,56250000,500,124,1240,2.2044444444444444e-5,ohrR,500 µg/mL isoniazid,3
wt-1,335000,83750000,500,39,390,4.656716417910448e-6,wt,500 µg/mL isoniazid,3
wt-10,260000,65000000,500,13,130,2e-6,wt,500 µg/mL isoniazid,3
wt-11,170000,42500000,500,23,230,5.411764705882353e-6,wt,500 µg/mL isoniazid,3
wt-12,285000,71250000,500,11,110,1.543859649122807e-6,wt,500 µg/mL isoniazid,3
wt-2,250000,62500000,500,17,170,2.72e-6,wt,500 µg/mL isoniazid,3
wt-3,240000,60000000,500,10,100,1.6666666666666667e-6,wt,500 µg/mL isoniazid,3
wt-4,310000,77500000,500,15,150,1.935483870967742e-6,wt,500 µg/mL isoniazid,3
wt-5,265000,66250000,500,14,140,2.1132075471698114e-6,wt,500 µg/mL isoniazid,3
wt-6,265000,66250000,500,12,120,1.8113207547169812e-6,wt,500 µg/mL isoniazid,3
wt-7,175000,43750000,500,0,0,0,wt,500 µg/mL isoniazid,3
wt-8,245000,61250000,500,13,130,2.122448979591837e-6,wt,500 µg/mL isoniazid,3
wt-9,235000,58750000,500,15,150,2.553191489361702e-6,wt,500 µg/mL isoniazid,3
