msm.new.ref.locus.tag,msm.locus.tag,mtb.locus.tag,mtb.gene.name,fident,alnlen,mismatch,gapopen,qstart,qend,tstart,evalue,bits
LJ00_RS19110,MSMEG_3890,Rv2097c,pafA,0.942,452,26,0,1,452,1,4.21E-290,880
LJ00_RS19145,MSMEG_3897,Rv2112c,dop,0.94,501,30,0,1,497,50,1.24E-304,965
LJ00_RS18830,MSMEG_3833,Rv1630,rpsA,0.939,481,29,0,1,479,1,3.19E-298,905
LJ00_RS17920,MSMEG_3645,Rv1829,NA,0.939,164,10,0,1,164,1,1.39E-97,308
LJ00_RS05015,MSMEG_2299,Rv3051c,nrdE,0.939,693,42,0,30,722,1,0,1357
LJ00_RS05015,MSMEG_1019,Rv3051c,nrdE,0.939,693,42,0,30,722,1,0,1357
LJ00_RS11295,MSMEG_1019,Rv3051c,nrdE,0.939,693,42,0,30,722,1,0,1357
LJ00_RS11295,MSMEG_2299,Rv3051c,nrdE,0.939,693,42,0,30,722,1,0,1357
LJ00_RS04620,MSMEG_0937,Rv0491,regX3,0.938,228,14,0,1,228,1,7.03E-137,425
LJ00_RS24830,MSMEG_5078,Rv1213,glgC,0.935,404,26,0,1,404,1,2.42E-263,800
LJ00_RS07125,MSMEG_1443,Rv0708,rplP,0.934,138,9,0,1,138,1,2.35E-87,277
LJ00_RS28725,MSMEG_5872,Rv0757,phoP,0.934,229,15,0,11,239,19,3.64E-141,438
LJ00_RS14440,MSMEG_2937,Rv2606c,snzP,0.934,291,19,0,13,303,9,2.75E-176,543
LJ00_RS04345,MSMEG_0880,Rv0440,groEL2,0.933,541,36,0,1,541,1,1.52E-304,973
LJ00_RS27695,MSMEG_5662,Rv0903c,prrA,0.933,239,16,0,1,239,1,1.97E-139,433
LJ00_RS22825,MSMEG_4672,Rv2460c,clpP2,0.933,212,14,0,7,218,3,1.03E-127,398
LJ00_RS14480,MSMEG_2945,Rv2592c,ruvB,0.932,343,23,0,9,351,3,1.46E-207,636
LJ00_RS08250,MSMEG_1670,Rv3318,sdhA,0.932,590,40,0,1,584,1,0,1149
LJ00_RS13370,MSMEG_2723,Rv2737c,recA,0.931,249,17,0,4,252,3,9.63E-150,469
LJ00_RS07105,MSMEG_1439,Rv0704,rplB,0.927,277,20,0,1,277,1,1.58E-178,548
LJ00_RS30140,MSMEG_6159,Rv3648c,cspA,0.925,67,5,0,1,67,1,7.19E-41,139
LJ00_RS33790,MSMEG_6903,Rv0047c,NA,0.924,172,13,0,1,172,1,4.71E-101,319
LJ00_RS05090,MSMEG_2313,Rv3048c,nrdF2,0.922,324,25,0,1,324,1,6.61E-203,621
LJ00_RS11360,MSMEG_2313,Rv3048c,nrdF2,0.922,324,25,0,1,324,1,6.61E-203,621
LJ00_RS11360,MSMEG_1033,Rv3048c,nrdF2,0.922,324,25,0,1,324,1,6.61E-203,621
LJ00_RS05090,MSMEG_1033,Rv3048c,nrdF2,0.922,324,25,0,1,324,1,6.61E-203,621
LJ00_RS15185,MSMEG_3087,Rv1440,secG,0.921,76,6,0,1,76,1,2.79E-40,138
LJ00_RS18745,MSMEG_3816,Rv1633,uvrB,0.921,698,55,0,22,719,1,0,1303
LJ00_RS19140,MSMEG_3896,Rv2111c,pup,0.921,64,5,0,1,64,1,2.10E-36,126
LJ00_RS24100,MSMEG_4932,Rv1315,murA,0.92,416,33,0,1,416,1,8.81E-256,779
LJ00_RS15155,MSMEG_3081,Rv1423,whiA,0.92,325,26,0,1,325,1,1.74E-192,591
LJ00_RS07515,MSMEG_1522,Rv3459c,rpsK,0.92,139,11,0,1,138,1,1.72E-82,263
LJ00_RS28875,MSMEG_5902,Rv3501c,yrbE4A,0.92,251,20,0,1,251,1,1.56E-149,463
LJ00_RS04495,MSMEG_0911,Rv0467,icl1,0.92,428,34,0,1,428,1,3.24E-272,827
LJ00_RS18950,MSMEG_3858,Rv2050,NA,0.918,111,9,0,1,111,1,3.89E-70,226
LJ00_RS22285,MSMEG_4556,Rv2404c,lepA,0.918,624,51,0,8,631,34,0,1147
LJ00_RS06750,MSMEG_1367,Rv0667,rpoB,0.917,1162,96,0,8,1169,11,0,2182
LJ00_RS33760,MSMEG_6897,Rv0053,rpsF,0.916,96,8,0,1,96,1,6.54E-56,184
LJ00_RS33750,MSMEG_6895,Rv0055,rpsR1,0.916,84,7,0,1,84,1,8.17E-48,160
LJ00_RS22830,MSMEG_4673,Rv2461c,clpP1,0.916,192,16,0,1,192,7,7.44E-114,357
LJ00_RS18885,MSMEG_3844,Rv1627c,NA,0.915,400,34,0,1,400,3,2.72E-251,765
LJ00_RS06755,MSMEG_1368,Rv0668,rpoC,0.914,1317,113,0,1,1317,1,0,2453
LJ00_RS18625,MSMEG_3791,Rv1643,rplT,0.914,129,11,0,1,129,1,2.21E-75,242
LJ00_RS15110,MSMEG_3072,Rv1415,ribA2,0.913,417,36,0,1,417,1,2.98E-261,796
LJ00_RS22595,MSMEG_4624,Rv2441c,rpmA,0.913,81,7,0,1,81,1,6.07E-45,152
LJ00_RS12485,MSMEG_2540,Rv2883c,pyrH,0.913,232,20,0,17,248,30,1.48E-138,431
LJ00_RS10160,MSMEG_2062,Rv3146,nuoB,0.913,184,16,0,1,184,1,3.85E-113,354
LJ00_RS19170,MSMEG_3902,Rv2115c,mpa,0.912,613,54,0,1,613,1,0,1101
LJ00_RS13470,MSMEG_2743,Rv2718c,nrdR,0.912,148,13,0,1,148,1,1.54E-89,284
LJ00_RS10295,MSMEG_2089,Rv3102c,ftsE,0.912,229,20,0,1,229,1,6.11E-139,431
LJ00_RS27905,MSMEG_5706,Rv0861c,ercc3,0.911,542,48,0,8,549,1,0,1022
LJ00_RS18635,MSMEG_3793,Rv1641,infC,0.911,193,17,0,13,205,1,1.81E-115,362
LJ00_RS12680,MSMEG_2580,Rv2868c,gcpE,0.91,381,34,0,1,381,7,6.45E-232,708
LJ00_RS07120,MSMEG_1442,Rv0707,rpsC,0.909,275,25,0,1,275,1,1.24E-162,502
LJ00_RS17945,MSMEG_3650,Rv1824,NA,0.909,110,10,0,1,110,12,3.89E-60,197
LJ00_RS07910,MSMEG_1603,Rv3410c,guaB3,0.909,374,34,0,1,374,1,3.81E-226,691
LJ00_RS06610,MSMEG_1339,Rv0634B,rpmG2,0.909,55,5,0,1,55,1,1.82E-33,117
LJ00_RS07525,MSMEG_1524,Rv3457c,rpoA,0.908,350,32,0,1,350,1,2.57E-209,641
LJ00_RS29045,MSMEG_5937,Rv3534c,hsaF,0.908,340,31,0,9,348,4,1.46E-206,633
LJ00_RS06650,MSMEG_1347,Rv0641,rplA,0.905,232,22,0,1,232,1,2.17E-136,424
LJ00_RS30720,MSMEG_6279,Rv3715c,recR,0.905,202,19,0,1,202,1,8.93E-122,380
LJ00_RS30295,MSMEG_6192,Rv3678A,NA,0.905,53,5,0,1,53,1,4.08E-32,113
LJ00_RS03610,MSMEG_0732,Rv0384c,clpB,0.904,848,81,0,1,848,1,0,1551
LJ00_RS08980,MSMEG_1821,Rv3274c,fadE25,0.904,389,37,0,1,389,1,2.91E-236,721
LJ00_RS26820,MSMEG_5488,Rv0981,mprA,0.903,228,22,0,1,228,1,9.32E-134,416
LJ00_RS20695,MSMEG_4222,Rv2150c,ftsZ,0.903,384,37,0,1,384,1,1.61E-223,684
LJ00_RS29550,MSMEG_6042,Rv3574,kstR,0.903,197,19,0,26,222,1,5.52E-113,356
LJ00_RS11990,MSMEG_2440,Rv2904c,rplS,0.902,113,11,0,1,113,1,1.11E-66,216
LJ00_RS00030,MSMEG_0006,Rv0006,gyrA,0.901,835,82,0,1,835,1,0,1519
LJ00_RS24145,MSMEG_4941,Rv1305,atpE,0.901,81,8,0,3,83,1,1.36E-43,148
LJ00_RS07905,MSMEG_1602,Rv3411c,guaB2,0.9,501,50,0,13,513,29,1.67E-296,902
LJ00_RS07900,MSMEG_1601,Rv3412,NA,0.9,130,13,0,1,130,1,3.15E-83,265
LJ00_RS03680,MSMEG_0746,Rv0373c,NA,0.899,799,81,0,1,799,1,0,1516
LJ00_RS18520,MSMEG_3770,Rv1658,argG,0.899,397,40,0,1,397,1,3.42E-248,756
LJ00_RS26555,MSMEG_5435,Rv1013,pks16,0.898,544,55,0,1,544,1,0,1018
LJ00_RS15535,MSMEG_3159,Rv1493,mutB,0.898,742,76,0,9,750,8,0,1341
LJ00_RS06850,MSMEG_1388,Rv0673,echA4,0.897,312,32,0,1,312,1,1.05E-191,588
LJ00_RS21195,MSMEG_4326,Rv2244,acpM,0.897,98,10,0,1,98,1,2.06E-53,177
LJ00_RS22040,MSMEG_4507,Rv2375,NA,0.897,98,10,0,1,98,1,3.21E-59,194
LJ00_RS00120,MSMEG_0024,Rv0009,ppiA,0.895,173,18,0,3,175,10,4.90E-106,333
LJ00_RS03495,MSMEG_0709,Rv0350,dnaK,0.895,625,65,0,1,622,1,0,1106
LJ00_RS03835,MSMEG_0777,Rv0407,fgd1,0.895,335,35,0,1,335,1,3.27E-208,637
LJ00_RS25735,MSMEG_5263,Rv1080c,greA,0.895,162,17,0,1,162,1,3.75E-95,301
LJ00_RS07510,MSMEG_1521,Rv3460c,rpsM,0.895,124,13,0,1,124,1,2.33E-72,233
LJ00_RS20760,MSMEG_4236,Rv2166c,NA,0.894,142,15,0,1,142,1,4.40E-83,265
LJ00_RS06740,MSMEG_1365,Rv0652,rplL,0.892,130,14,0,1,130,1,2.07E-68,222
LJ00_RS21990,MSMEG_4496,Rv2367c,NA,0.892,176,19,0,1,176,6,2.79E-105,331
LJ00_RS22960,MSMEG_4700,Rv2477c,NA,0.892,557,60,0,1,556,1,0,1035
LJ00_RS28870,MSMEG_5901,Rv3500c,yrbE4B,0.892,280,30,0,1,280,1,1.56E-162,502
LJ00_RS22180,MSMEG_4535,Rv2402,NA,0.891,634,69,0,35,668,9,0,1221
LJ00_RS05790,MSMEG_1172,Rv2643,arsC,0.891,349,38,0,2,349,4,5.37E-205,629
LJ00_RS03390,MSMEG_0688,Rv0337c,aspC,0.89,421,46,0,4,424,10,1.79E-259,790
LJ00_RS28375,MSMEG_5800,Rv0808,purF,0.89,492,54,0,3,494,21,4.04E-294,895
LJ00_RS17830,MSMEG_3627,Rv1848,ureA,0.89,100,11,0,1,100,1,3.57E-56,185
LJ00_RS17310,MSMEG_3519,Rv1894c,NA,0.89,376,41,0,1,376,1,4.67E-233,711
LJ00_RS21210,MSMEG_4329,Rv2247,accD6,0.89,474,52,0,1,474,1,2.36E-290,882
LJ00_RS11615,MSMEG_2365,Rv3011c,gatA,0.89,493,54,0,3,494,2,2.03E-293,892
LJ00_RS08565,MSMEG_1734,Rv3304,NA,0.89,155,17,0,1,155,1,9.97E-97,305
LJ00_RS28975,MSMEG_5923,Rv3523,ltp3,0.89,384,42,0,5,388,6,1.51E-236,722
LJ00_RS10280,MSMEG_2086,Rv3105c,prfB,0.889,371,41,0,1,368,8,4.37E-221,676
LJ00_RS18385,MSMEG_3743,Rv1708,NA,0.888,277,31,0,13,289,42,7.35E-167,515
LJ00_RS21040,MSMEG_4294,Rv2222c,glnA2,0.887,446,50,0,1,446,1,6.20E-274,833
LJ00_RS13040,MSMEG_2654,Rv2785c,rpsO,0.887,89,10,0,1,89,1,3.82E-50,167
LJ00_RS14990,MSMEG_3047,Rv1384,carB,0.887,1111,125,0,1,1111,1,0,2008
LJ00_RS13235,MSMEG_2695,Rv2744c,35kd_ag,0.887,258,29,0,1,258,1,1.59E-144,450
LJ00_RS07320,MSMEG_1483,Rv0732,secY,0.886,441,50,0,1,441,1,1.76E-259,791
LJ00_RS27010,MSMEG_5525,Rv0951,sucC,0.886,386,44,0,1,386,1,1.61E-224,687
LJ00_RS07520,MSMEG_1523,Rv3458c,rpsD,0.885,201,23,0,1,201,1,9.82E-120,374
LJ00_RS07245,MSMEG_1468,Rv0717,rpsN1,0.885,61,7,0,1,61,1,9.99E-35,121
LJ00_RS28485,MSMEG_5824,Rv0803,purL,0.884,756,87,0,10,765,3,0,1379
LJ00_RS13520,MSMEG_2754,Rv2708c,NA,0.884,78,9,0,1,78,4,1.50E-46,156
LJ00_RS13035,MSMEG_2653,Rv2786c,ribF,0.884,321,37,0,1,321,8,7.15E-194,595
LJ00_RS00170,MSMEG_0034,Rv0019c,fhaB,0.883,155,18,0,1,155,1,2.38E-87,278
LJ00_RS28365,MSMEG_5798,Rv0809,purM,0.883,351,41,0,10,360,14,1.68E-210,645
LJ00_RS26500,MSMEG_5424,Rv1019,NA,0.883,197,23,0,1,197,1,1.44E-113,356
LJ00_RS15440,MSMEG_3140,Rv1473,NA,0.883,542,63,0,1,542,1,3.53E-304,972
LJ00_RS14580,MSMEG_2965,Rv2583c,relA,0.883,797,92,0,1,797,1,0,1418
LJ00_RS11920,MSMEG_2426,Rv2919c,glnB,0.883,112,13,0,1,112,1,1.43E-63,207
LJ00_RS30620,MSMEG_6257,Rv3709c,ask,0.883,421,49,0,1,421,1,4.25E-248,757
LJ00_RS28525,MSMEG_5832,Rv0787A,NA,0.883,77,9,0,1,77,1,2.93E-40,138
LJ00_RS18710,MSMEG_3808,Rv1638,uvrA,0.882,972,114,0,1,964,1,0,1762
LJ00_RS18540,MSMEG_3774,Rv1654,argB,0.882,281,33,0,11,291,12,3.98E-167,516
LJ00_RS22600,MSMEG_4625,Rv2442c,rplU,0.882,102,12,0,1,102,2,2.27E-54,180
LJ00_RS20875,MSMEG_4260,Rv2193,ctaE,0.881,203,24,0,1,203,1,9.82E-121,377
LJ00_RS20930,MSMEG_4272,Rv2204c,NA,0.881,118,14,0,1,118,1,5.76E-68,220
LJ00_RS13120,MSMEG_2670,Rv2764c,thyA,0.881,262,31,0,5,266,2,3.33E-164,506
LJ00_RS07090,MSMEG_1436,Rv0701,rplC,0.88,217,26,0,1,217,1,4.84E-127,396
LJ00_RS28320,MSMEG_5789,Rv0815c,cysA2,0.88,277,33,0,1,277,1,2.90E-171,527
LJ00_RS26840,MSMEG_5492,Rv0974c,accD2,0.88,528,63,0,4,531,2,3.67E-304,954
LJ00_RS28320,MSMEG_5789,Rv3117,cysA3,0.88,277,33,0,1,277,1,2.90E-171,527
LJ00_RS31145,MSMEG_6366,Rv3781,rfbE,0.88,267,32,0,1,267,1,4.80E-153,474
LJ00_RS28270,MSMEG_5779,Rv0820,phoT,0.879,258,31,0,1,258,1,3.16E-152,471
LJ00_RS17535,MSMEG_3564,Rv1876,bfrA,0.879,158,19,0,1,158,1,9.65E-92,291
LJ00_RS26805,MSMEG_5485,Rv0984,moaB2,0.878,165,20,0,1,164,17,3.00E-89,284
LJ00_RS25030,MSMEG_5122,Rv1177,fdxC,0.878,107,13,0,1,107,1,3.37E-68,220
LJ00_RS24795,MSMEG_5072,Rv1221,sigE,0.878,205,25,0,45,249,39,2.40E-120,379
LJ00_RS03745,MSMEG_0759,Rv0357c,purA,0.877,431,53,0,1,431,1,5.49E-259,789
LJ00_RS26515,MSMEG_5427,Rv1017c,prsA,0.877,326,40,0,1,326,1,4.44E-191,587
LJ00_RS10115,MSMEG_2053,Rv3155,nuoK,0.877,98,12,0,1,98,1,1.03E-52,175
LJ00_RS09450,MSMEG_1914,Rv3223c,sigH,0.877,212,26,0,1,209,1,4.21E-119,373
LJ00_RS01270,MSMEG_0255,Rv0211,pckA,0.876,605,75,0,1,604,1,0,1151
LJ00_RS06745,MSMEG_1366,Rv0655,mkl,0.876,324,40,0,1,324,24,1.14E-188,582
LJ00_RS07135,MSMEG_1445,Rv0710,rpsQ,0.876,97,12,0,2,98,40,2.18E-52,174
LJ00_RS07235,MSMEG_1466,Rv0715,rplX,0.876,105,13,0,1,105,1,6.79E-60,196
LJ00_RS23965,MSMEG_4905,Rv1336,cysM,0.876,323,40,0,1,323,1,4.24E-190,584
LJ00_RS15170,MSMEG_3084,Rv1436,gap,0.876,340,42,0,1,340,1,8.24E-200,613
LJ00_RS13670,MSMEG_2784,Rv2674,msrB,0.876,130,16,0,6,135,4,2.19E-79,254
LJ00_RS29350,MSMEG_6001,Rv3550,echA20,0.876,243,30,0,1,243,1,2.86E-141,439
LJ00_RS27760,MSMEG_5676,Rv0889c,citA,0.875,369,46,0,1,369,1,2.26E-224,686
LJ00_RS22415,MSMEG_4583,Rv2426c,NA,0.875,298,36,0,1,298,1,4.17E-169,522
LJ00_RS08125,MSMEG_1647,Rv3356c,folD,0.875,281,35,0,1,281,1,1.24E-166,514
LJ00_RS24745,MSMEG_5062,Rv1234,NA,0.874,175,21,0,1,170,1,6.24E-101,318
LJ00_RS15835,MSMEG_3220,Rv1612,trpB,0.874,406,51,0,13,415,2,2.35E-239,732
LJ00_RS08940,MSMEG_1813,Rv3280,accD5,0.874,548,68,0,1,542,1,0,985
LJ00_RS07265,MSMEG_1472,Rv0721,rpsE,0.873,213,26,0,1,207,1,3.49E-112,353
LJ00_RS15495,MSMEG_3151,Rv1484,inhA,0.873,269,34,0,1,269,1,3.01E-158,489
LJ00_RS20675,MSMEG_4218,Rv2146c,NA,0.873,95,12,0,1,95,1,2.18E-51,171
LJ00_RS13495,MSMEG_2748,Rv2713,sthA,0.873,467,59,0,1,467,1,1.42E-275,839
LJ00_RS11795,MSMEG_2400,Rv2975a,NA,0.873,63,8,0,1,63,1,4.22E-37,128
LJ00_RS00025,MSMEG_0005,Rv0005,gyrB,0.872,675,86,0,1,675,1,0,1214
LJ00_RS20800,MSMEG_4244,Rv2178c,aroG,0.872,464,59,0,1,464,1,2.40E-276,841
LJ00_RS07745,MSMEG_1568,Rv3436c,glmS,0.872,628,80,0,1,628,1,0,1096
LJ00_RS03710,MSMEG_0752,Rv0363c,fba,0.871,343,44,0,1,343,1,2.95E-205,629
LJ00_RS05755,MSMEG_1165,Rv0566c,NA,0.871,163,21,0,1,163,1,5.25E-91,289
LJ00_RS07255,MSMEG_1470,Rv0719,rplF,0.871,179,23,0,1,179,1,1.59E-103,326
LJ00_RS25675,MSMEG_5252,Rv1092c,coaA,0.871,312,40,0,1,312,1,2.00E-184,567
LJ00_RS15830,MSMEG_3219,Rv1611,trpC,0.871,272,35,0,1,272,1,1.34E-151,470
LJ00_RS15965,MSMEG_3246,Rv1626,NA,0.871,203,26,0,1,201,1,1.57E-109,345
LJ00_RS17915,MSMEG_3644,Rv1830,NA,0.871,210,26,0,1,204,16,4.04E-114,358
LJ00_RS20730,MSMEG_4230,Rv2156c,murX,0.871,359,46,0,1,359,1,6.00E-213,652
LJ00_RS08245,MSMEG_1669,Rv3319,sdhB,0.871,256,32,0,10,261,8,5.06E-157,485
LJ00_RS07100,MSMEG_1438,Rv0703,rplW,0.87,100,13,0,1,100,1,4.37E-54,179
LJ00_RS25620,MSMEG_5240,Rv1098c,fum,0.87,464,60,0,3,465,4,5.06E-261,797
LJ00_RS15025,MSMEG_3055,Rv1392,metK,0.87,400,51,0,3,399,4,7.29E-231,706
LJ00_RS15790,MSMEG_3211,Rv1605,hisF,0.87,255,33,0,7,261,13,3.44E-144,448
LJ00_RS29680,MSMEG_6067,Rv2057c,rpmG1,0.87,54,7,0,1,54,1,5.34E-30,107
LJ00_RS26460,MSMEG_5415,Rv1023,eno,0.869,423,55,0,1,423,1,6.14E-247,754
LJ00_RS30430,MSMEG_6219,Rv3692,moxR2,0.869,315,41,0,9,323,44,9.71E-181,557
LJ00_RS33915,MSMEG_6935,Rv3915,NA,0.869,392,51,0,3,394,11,8.36E-228,697
LJ00_RS28325,MSMEG_5790,Rv0814c,NA,0.868,99,13,0,1,99,1,8.79E-55,181
LJ00_RS25060,MSMEG_5126,Rv1173,fbiC,0.868,846,111,0,14,859,15,0,1520
LJ00_RS18400,MSMEG_3746,Rv1699,pyrG,0.868,585,77,0,4,585,1,0,1043
LJ00_RS14455,MSMEG_2940,Rv2603c,NA,0.868,251,33,0,1,251,1,3.63E-147,456
LJ00_RS29810,MSMEG_6092,Rv3597c,lsr2,0.868,114,15,0,1,114,1,8.60E-62,202
LJ00_RS03505,MSMEG_0711,Rv0352,dnaJ1,0.868,394,51,0,1,389,1,2.17E-231,707
LJ00_RS28325,MSMEG_5790,Rv3118,NA,0.868,99,13,0,1,99,1,8.79E-55,181
LJ00_RS24055,MSMEG_4923,Rv1321,NA,0.867,224,30,0,1,224,4,2.75E-128,400
LJ00_RS11550,MSMEG_2352,Rv3028c,fixB,0.867,318,42,0,1,318,1,2.47E-176,544
LJ00_RS29865,MSMEG_6104,Rv3609c,folE,0.867,189,25,0,15,203,14,3.35E-107,338
LJ00_RS26945,MSMEG_5512,Rv0958,NA,0.866,457,61,0,4,460,3,3.51E-261,797
LJ00_RS04445,MSMEG_0900,Rv0458,NA,0.865,507,68,0,1,507,1,1.36E-304,925
LJ00_RS24335,MSMEG_4979,Rv1285,cysD,0.865,298,40,0,14,311,35,3.98E-176,543
LJ00_RS21180,MSMEG_4323,Rv2241,aceE,0.865,898,121,0,30,927,1,0,1654
LJ00_RS13505,MSMEG_2750,Rv2711,ideR,0.865,230,31,0,1,230,1,3.01E-130,406
LJ00_RS03915,MSMEG_0793,Rv0417,thiG,0.864,251,34,0,1,251,1,2.36E-135,422
LJ00_RS06735,MSMEG_1364,Rv0651,rplJ,0.864,170,23,0,1,170,1,5.02E-89,284
LJ00_RS24220,MSMEG_4957,Rv1294,thrA,0.864,435,59,0,3,437,5,1.53E-242,742
LJ00_RS14975,MSMEG_3044,Rv1381,pyrC,0.864,428,58,0,10,437,3,9.29E-251,766
LJ00_RS15625,MSMEG_3178,Rv1547,dnaE1,0.864,1184,161,0,1,1184,1,0,2128
LJ00_RS15870,MSMEG_3227,Rv1617,pykA,0.864,472,64,0,1,472,1,1.01E-272,831
LJ00_RS13050,MSMEG_2656,Rv2783c,gpsI,0.864,743,101,0,1,740,1,0,1289
LJ00_RS12380,MSMEG_2519,Rv2890c,rpsB,0.864,287,38,0,1,277,1,1.79E-159,493
LJ00_RS11465,MSMEG_1055,Rv3034c,NA,0.864,243,33,0,1,243,56,5.56E-149,461
LJ00_RS05205,MSMEG_2335,Rv3034c,NA,0.864,243,33,0,1,243,56,5.56E-149,461
LJ00_RS11465,MSMEG_2335,Rv3034c,NA,0.864,243,33,0,1,243,56,5.56E-149,461
LJ00_RS05205,MSMEG_1055,Rv3034c,NA,0.864,243,33,0,1,243,56,5.56E-149,461
LJ00_RS27740,MSMEG_5672,Rv0896,gltA2,0.863,424,58,0,12,434,8,1.31E-250,765
LJ00_RS25765,MSMEG_5270,Rv1077,cbs,0.863,463,63,0,1,462,1,1.49E-272,830
LJ00_RS03340,MSMEG_0678,Rv0321,dcd,0.862,189,26,0,1,189,1,2.92E-110,346
LJ00_RS04115,MSMEG_0833,Rv0430,NA,0.862,102,14,0,1,102,1,9.20E-56,184
LJ00_RS23955,MSMEG_4903,Rv1338,murI,0.862,269,36,0,1,269,1,1.01E-148,462
LJ00_RS18390,MSMEG_3744,Rv1701,NA,0.862,305,42,0,14,318,7,6.61E-174,537
LJ00_RS21200,MSMEG_4327,Rv2245,kasA,0.862,416,57,0,1,416,1,3.70E-247,754
LJ00_RS13455,MSMEG_2740,Rv2720,lexA,0.862,231,32,0,13,243,7,1.62E-126,396
LJ00_RS11730,MSMEG_2388,Rv2987c,leuD,0.862,197,27,0,1,197,1,2.64E-115,361
LJ00_RS25615,MSMEG_5239,Rv1099c,glpX,0.861,340,47,0,3,342,23,5.87E-196,602
LJ00_RS15020,MSMEG_3054,Rv1391,dfp,0.861,405,56,0,5,409,9,1.74E-228,700
LJ00_RS23240,MSMEG_4756,Rv2523c,acpS,0.861,130,18,0,1,130,1,3.11E-72,233
LJ00_RS04475,MSMEG_0906,Rv0465c,NA,0.86,472,66,0,1,470,1,4.99E-275,838
LJ00_RS05305,MSMEG_1075,Rv0548c,menB,0.86,308,42,0,2,309,11,5.58E-180,554
LJ00_RS27005,MSMEG_5524,Rv0952,sucD,0.86,300,42,0,1,300,4,4.17E-170,525
LJ00_RS25535,MSMEG_5222,Rv1112,NA,0.86,358,49,0,1,358,1,1.22E-200,617
LJ00_RS22030,MSMEG_4505,Rv2374c,hrcA,0.86,343,48,0,1,343,1,8.87E-192,590
LJ00_RS14930,MSMEG_3035,Rv2534c,efp,0.86,187,26,0,1,187,1,2.92E-109,343
LJ00_RS13180,MSMEG_2683,Rv2754c,thyX,0.86,250,35,0,1,250,1,1.02E-143,446
LJ00_RS08915,MSMEG_1808,Rv3284,NA,0.86,136,19,0,1,136,7,1.86E-72,234
LJ00_RS29825,MSMEG_6096,Rv3600c,NA,0.86,272,38,0,1,271,1,1.17E-152,473
LJ00_RS25545,MSMEG_5224,Rv1110,lytB2,0.86,336,47,0,1,336,1,7.38E-191,587
LJ00_RS05595,MSMEG_1134,Rv0563,htpX,0.859,284,40,0,1,284,1,1.40E-162,503
LJ00_RS06845,MSMEG_1387,Rv0672,fadE8,0.859,541,76,0,11,551,2,1.98E-304,982
LJ00_RS15485,MSMEG_3149,Rv1481,NA,0.859,334,47,0,1,334,1,1.36E-191,589
LJ00_RS15730,MSMEG_3199,Rv1594,nadA,0.859,349,49,0,1,347,1,5.12E-200,614
LJ00_RS12490,MSMEG_2541,Rv2882c,frr,0.859,185,26,0,1,185,1,1.15E-101,321
LJ00_RS09515,MSMEG_1927,Rv3213c,NA,0.859,263,37,0,2,264,4,2.85E-148,460
